movement_id,store_id,product_id,movement_datetime,movement_type,quantity_delta
1,4,96,2024-10-25 14:07:40,inbound,16
2,7,97,2024-03-27 15:27:02,return,2
3,5,13,2025-06-05 13:54:54,return,1
4,7,144,2024-12-30 00:27:14,inbound,20
5,1,13,2024-06-12 02:15:02,sale,-2
6,12,93,2025-06-19 21:20:54,sale,-1
7,8,79,2024-03-29 19:03:23,sale,-5
8,7,228,2024-01-04 14:17:23,inbound,13
9,10,281,2024-11-24 06:59:27,sale,-4
10,7,46,2024-11-09 01:38:34,inbound,42
11,2,178,2024-10-09 17:17:41,sale,-1
12,5,111,2025-08-22 20:40:42,sale,-5
13,7,6,2024-03-20 06:52:37,sale,-4
14,1,103,2024-10-04 23:32:32,sale,-1
15,1,172,2025-02-18 04:34:43,return,2
16,10,184,2024-03-30 04:43:06,inbound,38
17,11,123,2025-04-21 08:06:58,sale,-4
18,4,51,2024-01-04 23:05:32,sale,-1
19,3,171,2025-07-13 04:40:07,sale,-1
20,5,119,2024-08-08 15:17:41,inbound,48
21,12,258,2024-07-25 18:53:24,inbound,32
22,4,160,2025-01-07 03:21:34,sale,-3
23,4,253,2025-08-05 01:40:27,sale,-2
24,11,261,2025-06-19 17:25:33,sale,-2
25,3,145,2024-06-08 16:10:03,sale,-5
26,9,58,2025-04-26 11:53:01,adjustment,2
27,12,78,2025-01-12 04:53:07,sale,-1
28,8,138,2025-03-30 20:32:17,inbound,9
29,3,157,2024-10-13 10:15:42,sale,-2
30,6,13,2025-06-04 23:27:38,return,3
31,11,176,2024-09-06 15:00:51,sale,-1
32,12,105,2024-01-02 23:11:32,inbound,11
33,10,128,2024-11-07 10:48:30,return,2
34,3,295,2024-08-03 10:05:54,inbound,10
35,9,234,2025-03-05 05:35:27,sale,-3
36,6,14,2024-01-14 17:48:07,inbound,43
37,1,208,2024-09-18 05:51:09,adjustment,-1
38,8,226,2024-04-29 03:17:14,sale,-2
39,7,77,2025-04-18 11:23:34,adjustment,3
40,6,163,2025-04-16 15:37:22,adjustment,2
41,9,253,2024-02-12 12:02:21,inbound,10
42,4,85,2025-03-19 16:22:49,inbound,13
43,7,62,2024-05-21 07:57:55,inbound,26
44,9,289,2025-04-26 02:48:27,sale,-4
45,2,172,2025-05-10 20:35:20,inbound,20
46,12,60,2024-01-02 04:25:05,sale,-2
47,3,137,2025-04-16 05:05:47,sale,-1
48,2,177,2025-04-25 13:36:29,inbound,11
49,10,44,2024-06-15 14:32:36,sale,-3
50,2,286,2025-03-13 18:23:35,inbound,38
51,10,29,2024-06-15 15:25:40,sale,-3
52,7,135,2024-08-28 05:25:20,sale,-4
53,10,259,2025-04-24 21:56:46,sale,-4
54,8,278,2025-02-26 00:23:42,inbound,36
55,12,128,2025-03-20 07:10:13,inbound,5
56,11,81,2024-08-25 09:35:02,sale,-1
57,10,98,2024-04-11 09:40:11,sale,-3
58,6,117,2024-09-06 15:15:00,inbound,33
59,7,63,2025-08-04 00:11:01,inbound,33
60,3,106,2024-07-16 20:33:18,sale,-1
61,10,139,2025-07-15 21:04:52,sale,-5
62,5,225,2024-05-18 12:02:46,sale,-5
63,1,269,2024-11-14 00:47:46,sale,-4
64,11,39,2025-07-21 16:37:36,inbound,18
65,2,215,2025-07-24 03:02:37,inbound,12
66,4,160,2025-03-01 05:55:55,sale,-4
67,1,253,2024-07-18 10:04:51,adjustment,-3
68,12,182,2024-03-13 18:52:05,adjustment,2
69,10,257,2025-03-08 02:05:38,inbound,18
70,11,209,2024-12-28 12:39:57,sale,-5
71,2,186,2024-01-15 00:31:37,inbound,40
72,4,100,2024-10-15 05:56:30,adjustment,3
73,9,172,2024-04-04 08:26:17,sale,-2
74,2,265,2024-04-06 22:23:26,adjustment,0
75,11,59,2024-02-28 19:47:37,inbound,50
76,8,105,2024-09-19 14:17:46,return,3
77,5,124,2025-01-27 15:55:38,sale,-5
78,7,152,2025-08-08 02:41:52,inbound,41
79,11,92,2024-10-02 06:06:57,inbound,35
80,3,50,2024-07-01 13:49:30,sale,-4
81,3,132,2025-06-06 02:43:31,sale,-1
