order_id,customer_id,store_id,order_datetime,status,sales_channel,payment_method
1,1036,2,2024-07-03 04:20:38,created,store,upi
2,703,7,2025-02-07 17:18:45,paid,online,upi
3,507,8,2024-09-12 20:12:28,shipped,store,upi
4,205,3,2024-03-27 02:03:07,shipped,store,card
5,710,12,2025-07-20 13:51:58,delivered,online,netbanking
6,152,8,2024-02-20 15:18:44,created,online,card
7,310,6,2024-04-16 18:39:39,paid,online,upi
8,225,8,2024-04-14 05:11:09,delivered,store,upi
9,512,4,2025-07-24 14:11:10,created,store,card
10,232,7,2024-06-29 12:43:20,delivered,online,cod
11,784,4,2024-07-18 23:47:00,delivered,store,card
12,594,5,2024-11-05 14:56:57,delivered,online,cod
13,1023,9,2025-08-17 10:00:17,shipped,store,card
14,767,10,2025-01-21 16:43:22,paid,store,card
15,918,8,2024-09-20 19:44:57,paid,online,upi
16,328,10,2024-11-20 13:14:17,paid,store,card
17,350,3,2025-01-02 18:09:01,paid,store,card
18,172,3,2024-05-17 00:41:23,shipped,store,card
19,586,2,2024-03-14 10:59:55,cancelled,store,card
20,311,10,2024-11-21 10:48:42,delivered,online,card
21,949,11,2024-06-06 20:26:11,delivered,store,upi
22,369,1,2025-03-17 12:04:21,delivered,online,card
23,1129,6,2024-04-09 06:13:46,paid,online,upi
24,83,1,2024-10-06 18:34:54,delivered,store,card
25,172,3,2024-06-04 03:53:11,delivered,online,card
26,231,12,2025-01-16 17:09:55,paid,online,card
27,823,5,2024-01-09 03:48:37,paid,online,upi
28,120,7,2024-11-12 09:48:08,delivered,online,card
29,796,3,2025-08-06 16:58:59,shipped,online,card
30,643,9,2024-12-01 23:24:40,paid,store,card
31,637,12,2024-05-01 19:27:46,paid,online,card
32,289,12,2025-03-22 04:11:04,paid,online,upi
33,94,5,2024-06-16 19:16:34,paid,store,card
34,995,9,2025-08-04 22:55:07,paid,store,card
35,833,10,2025-08-31 19:17:36,delivered,online,card
36,408,2,2025-07-16 00:03:14,delivered,online,card
37,345,12,2024-01-03 01:00:22,delivered,store,upi
38,397,9,2025-02-09 06:55:06,created,online,card
39,368,5,2024-09-07 16:57:15,shipped,online,card
40,332,7,2024-06-24 21:49:36,delivered,online,card
41,1094,12,2025-03-18 05:52:29,delivered,store,cod
42,364,9,2024-07-30 16:39:57,paid,store,netbanking
43,440,8,2025-02-21 23:05:32,paid,online,upi
44,1111,7,2024-06-30 12:29:06,paid,online,netbanking
45,223,1,2024-03-17 06:09:42,shipped,online,netbanking
46,313,2,2025-07-07 16:46:14,paid,online,upi
47,130,9,2025-05-03 10:45:48,delivered,store,card
48,988,8,2025-01-29 03:41:02,paid,online,card
49,1192,3,2024-01-07 20:57:59,shipped,online,upi
50,546,4,2024-03-17 19:08:29,shipped,store,card
51,1031,12,2024-04-23 11:37:26,shipped,online,card
52,613,6,2025-05-24 05:47:43,created,store,upi
53,801,7,2025-01-12 22:52:25,shipped,store,upi
54,725,10,2024-04-06 04:20:28,paid,online,upi
55,333,6,2024-11-29 07:38:17,delivered,online,card
56,911,12,2024-11-01 04:37:55,shipped,online,upi
57,293,10,2025-02-25 13:37:19,paid,online,upi
58,993,1,2025-07-29 00:35:50,shipped,online,upi
59,523,9,2024-12-26 21:39:54,shipped,online,card
60,1043,4,2025-05-31 09:07:26,shipped,online,card
61,704,4,2025-02-12 23:37:34,delivered,online,card
62,1197,9,2024-01-29 08:18:20,created,online,upi
63,1055,7,2024-01-11 10:10:07,delivered,store,card
64,286,8,2024-02-10 12:25:18,shipped,store,card
65,1115,3,2024-10-04 17:53:16,paid,online,card
