shipment_id,order_id,shipped_at,delivered_at,carrier,shipping_cost
1,1,2024-07-03 04:20:38,2024-07-04 04:20:38,DTDC,182.13
2,2,2025-02-10 17:18:45,2025-02-11 17:18:45,BlueDart,33.43
3,3,2024-09-13 20:12:28,2024-09-20 20:12:28,XpressBees,70.56
4,4,2024-03-31 02:03:07,2024-04-01 02:03:07,DTDC,32.11
5,5,2025-07-20 13:51:58,2025-07-23 13:51:58,Delhivery,182.34
6,6,2024-02-23 15:18:44,2024-03-01 15:18:44,XpressBees,186.74
7,7,2024-04-17 18:39:39,2024-04-21 18:39:39,EcomExpress,133.1
8,8,2024-04-16 05:11:09,2024-04-21 05:11:09,Delhivery,92.74
9,9,2025-07-26 14:11:10,2025-08-02 14:11:10,Delhivery,38.66
10,10,2024-06-30 12:43:20,2024-07-06 12:43:20,Delhivery,134.7
11,11,2024-07-22 23:47:00,2024-07-25 23:47:00,XpressBees,114.78
12,12,2024-11-05 14:56:57,2024-11-08 14:56:57,BlueDart,124.1
13,13,2025-08-19 10:00:17,2025-08-24 10:00:17,DTDC,61.98
14,14,2025-01-25 16:43:22,2025-01-31 16:43:22,Delhivery,25.86
15,15,2024-09-23 19:44:57,2024-09-29 19:44:57,EcomExpress,105.63
16,16,2024-11-20 13:14:17,2024-11-25 13:14:17,EcomExpress,81.14
17,17,2025-01-02 18:09:01,2025-01-05 18:09:01,BlueDart,115.99
18,18,2024-05-18 00:41:23,2024-05-23 00:41:23,XpressBees,183.69
19,19,2024-03-14 10:59:55,2024-03-18 10:59:55,BlueDart,130.85
20,20,2024-11-25 10:48:42,2024-12-02 10:48:42,XpressBees,153.01
21,21,2024-06-08 20:26:11,2024-06-13 20:26:11,DTDC,59.74
22,22,2025-03-20 12:04:21,2025-03-22 12:04:21,XpressBees,149.52
23,23,2024-04-13 06:13:46,2024-04-18 06:13:46,XpressBees,152.92
24,24,2024-10-07 18:34:54,2024-10-11 18:34:54,Delhivery,78.8
25,25,2024-06-07 03:53:11,2024-06-08 03:53:11,EcomExpress,25.58
26,26,2025-01-20 17:09:55,2025-01-26 17:09:55,EcomExpress,80.2
27,27,2024-01-09 03:48:37,2024-01-12 03:48:37,DTDC,50.44
28,28,2024-11-16 09:48:08,2024-11-18 09:48:08,XpressBees,160.35
29,29,2025-08-10 16:58:59,2025-08-14 16:58:59,XpressBees,71.81
30,30,2024-12-04 23:24:40,2024-12-08 23:24:40,BlueDart,156.56
31,31,2024-05-02 19:27:46,2024-05-06 19:27:46,Delhivery,106.88
32,32,2025-03-22 04:11:04,2025-03-25 04:11:04,XpressBees,97.66
33,33,2024-06-17 19:16:34,2024-06-22 19:16:34,BlueDart,158.55
34,34,2025-08-08 22:55:07,2025-08-10 22:55:07,DTDC,106.04
35,35,2025-08-31 19:17:36,2025-09-03 19:17:36,DTDC,71.57
36,36,2025-07-20 00:03:14,2025-07-25 00:03:14,EcomExpress,144.51
37,37,2024-01-07 01:00:22,2024-01-09 01:00:22,DTDC,149.31
38,38,2025-02-09 06:55:06,2025-02-13 06:55:06,DTDC,90.45
39,39,2024-09-08 16:57:15,2024-09-11 16:57:15,DTDC,191.07
40,40,2024-06-28 21:49:36,2024-07-02 21:49:36,XpressBees,48.68
41,41,2025-03-19 05:52:29,2025-03-24 05:52:29,XpressBees,98.86
42,42,2024-08-02 16:39:57,2024-08-03 16:39:57,Delhivery,46.64
43,43,2025-02-25 23:05:32,2025-02-26 23:05:32,Delhivery,126.68
44,44,2024-07-01 12:29:06,2024-07-04 12:29:06,Delhivery,118.55
45,45,2024-03-17 06:09:42,2024-03-23 06:09:42,EcomExpress,46.16
46,46,2025-07-10 16:46:14,2025-07-16 16:46:14,BlueDart,39.02
47,47,2025-05-05 10:45:48,2025-05-09 10:45:48,DTDC,53.25
48,48,2025-02-02 03:41:02,2025-02-04 03:41:02,DTDC,186.33
49,49,2024-01-09 20:57:59,2024-01-15 20:57:59,DTDC,81.29
